voucher_id,page,date,date_original,party,vch_type,vch_no,primary_ledger,credit_amount,agst_refs,narration
4,1,45771,2025-04-24 00:00:00.000,"Puthiyabarai Vision Farmer Produer Company","Credit Note","VAS 25-26/CN04","Sales",900,"Agst Ref 185 900.00 Cr","Being rate difference of 1692 (150 kg *5) Sugandha (30 kg*5) is credited"
5,1,45771,2025-04-24 00:00:00.000,"Swastik Khushi Traders","Credit Note","VAS 25-26/CN 05","Sales",6600,"Agst Ref 303 6,600.00 Cr","Being stock transfer from Puthiyabara farmer on june 2024."
6,1,45782,2025-05-05 00:00:00.000,"K P Singh","Credit Note","VAS 25-26/CN 06","Sales",30400,"Agst Ref 46 3-Apr-24 30,400.00 Cr","Being stock return"
7,2,45782,2025-05-05 00:00:00.000,"K P Singh","Credit Note","VAS 25-26/CN 07","Sales",17160,"Agst Ref 24 2-Apr-24 14,800.00 Cr | Agst Ref 409 7-Mar-25 2,360.00 Cr","Being rate difference amt. is credited."
8,2,45794,2025-05-17 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN 08","Sales",29800,"Agst Ref 320 21-May-24 29,800.00 Cr","Being rate difference of wheat (5960 kg*5=29800) is credited."
9,2,45794,2025-05-17 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 09","Sales",586720,"Agst Ref 391 4-Mar-25 3,88,000.00 Cr | Agst Ref 8 1,52,400.00 Cr | Agst Ref VAS 24-25/234 25-Mar-25 46,320.00 Cr","Being stock return at sarvoday godown."
10,2,45794,2025-05-17 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 10","Sales",5000,"Agst Ref 391 4-Mar-25 5,000.00 Cr","Being freight of paddy supply is credited,"
11,2,45794,2025-05-17 00:00:00.000,"12100 Om Sai Khad Beej Bhandar","Credit Note","VAS 25-26/CN 11","Sales",1000,"Agst Ref 392 1,000.00 Cr","Being freight of paddy supply is credited."
12,2,45794,2025-05-17 00:00:00.000,"Om Javitri Devi Sahaya","Credit Note","VAS 25-26/CN 12","Sales",1000,"Agst Ref 11 1,000.00 Cr","Being freight of stock supply is credited."
13,2,45797,2025-05-20 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS25-26/CN 13","Sales",15000,"Agst Ref 14 15,000.00 Cr","Being freight of paddy supply is credited."
14,3,45799,2025-05-22 00:00:00.000,"IFFDC Krishak Sewa Kendra","Credit Note","VAS 25-26/CN 14","Sales",1500,"Agst Ref 15 1,500.00 Cr","Being freight of paddy supply challan no 650 is creidted."
15,3,45799,2025-05-22 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN 15","Sales",2000,"Agst Ref 16 2,000.00 Cr","Being freight of paddy supply is credited."
16,3,45801,2025-05-24 00:00:00.000,"Om Javitri Devi Sahaya","Credit Note","VAS 25-26/CN 16","Sales",2500,"Agst Ref 11 2,500.00 Cr","Being freight of paddy supply is credited."
17,3,45801,2025-05-24 00:00:00.000,"13300 Bajrang Traders","Credit Note","VAS 25-26/CN 17","Sales",500,"Agst Ref 18 500.00 Cr","Being freight of paddy supply is credited."
20,3,45801,2025-05-24 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 20","Sales",3800,"Agst Ref 22 3,800.00 Cr","Being freight of paddy (challan no.660) supply is credited."
21,3,45801,2025-05-24 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 21","Sales",3800,"Agst Ref 22 3,800.00 Cr","Being freight of paddy (challan no.662) sypply is credited."
